"customerNumber";"customerName";"phone";"addressLine1";"addressLine2";"city";"state";"postalCode";"country";"salesRepEmployeeNumber";"creditLimit";"lastNameFirstName"
103;"Atelier graphique";"40.32.2555";"54, rue Royale";"";"Nantes";"";"44000";"France";1370;21000.0;"Schmitt,Carine "
112;"Signal Gift Stores";"7025551838";"8489 Strong St.";"";"Las Vegas";"NV";"83030";"USA";1166;71800.0;"King,Jean"
114;"Australian Collectors, Co.";"03 9520 4555";"636 St Kilda Road";"Level 3";"Melbourne";"Victoria";"3004";"Australia";1611;117300.0;"Ferguson,Peter"
119;"La Rochelle Gifts";"40.67.8555";"67, rue des Cinquante Otages";"";"Nantes";"";"44000";"France";1370;118200.0;"Labrune,Janine "
121;"Baane Mini Imports";"07-98 9555";"Erling Skakkes gate 78";"";"Stavern";"";"4110";"Norway";1504;81700.0;"Bergulfsen,Jonas "
124;"Mini Gifts Distributors Ltd.";"4155551450";"5677 Strong St.";"";"San Rafael";"CA";"97562";"USA";1165;210500.0;"Nelson,Susan"
125;"Havel & Zbyszek Co";"(26) 642-7555";"ul. Filtrowa 68";"";"Warszawa";"";"01-012";"Poland";0;0.0;"Piestrzeniewicz,Zbyszek "
128;"Blauer See Auto, Co.";"+49 69 66 90 2555";"Lyonerstr. 34";"";"Frankfurt";"";"60528";"Germany";1504;59700.0;"Keitel,Roland"
129;"Mini Wheels Co.";"6505555787";"5557 North Pendale Street";"";"San Francisco";"CA";"94217";"USA";1165;64600.0;"Murphy,Julie"
131;"Land of Toys Inc.";"2125557818";"897 Long Airport Avenue";"";"NYC";"NY";"10022";"USA";1323;114900.0;"Lee,Kwai"
141;"Euro+ Shopping Channel";"(91) 555 94 44";"C/ Moralzarzal, 86";"";"Madrid";"";"28034";"Spain";1370;227600.0;"Freyre,Diego "
144;"Volvo Model Replicas, Co";"0921-12 3555";"Berguvsvagen  8";"";"Lulea";"";"S-958 22";"Sweden";1504;53100.0;"Berglund,Christina "
145;"Danish Wholesale Imports";"31 12 3555";"Vinbaltet 34";"";"Kobenhavn";"";"1734";"Denmark";1401;83400.0;"Petersen,Jytte "
146;"Saveley & Henriot, Co.";"78.32.5555";"2, rue du Commerce";"";"Lyon";"";"69004";"France";1337;123900.0;"Saveley,Mary "
148;"Dragon Souveniers, Ltd.";"+65 221 7555";"Bronz Sok.";"Bronz Apt. 3/6 Tesvikiye";"Singapore";"";"079903";"Singapore";1621;103800.0;"Natividad,Eric"
151;"Muscle Machine Inc";"2125557413";"4092 Furth Circle";"Suite 400";"NYC";"NY";"10022";"USA";1286;138500.0;"Young,Jeff"
157;"Diecast Classics Inc.";"2155551555";"7586 Pompton St.";"";"Allentown";"PA";"70267";"USA";1216;100600.0;"Leong,Kelvin"
161;"Technics Stores Inc.";"6505556809";"9408 Furth Circle";"";"Burlingame";"CA";"94217";"USA";1165;84600.0;"Hashimoto,Juri"
166;"Handji Gifts& Co";"+65 224 1555";"106 Linden Road Sandown";"2nd Floor";"Singapore";"";"069045";"Singapore";1612;97900.0;"Victorino,Wendy"
167;"Herkku Gifts";"+47 2267 3215";"Brehmen St. 121";"PR 334 Sentrum";"Bergen";"";"N 5804";"Norway  ";1504;96800.0;"Oeztan,Veysel"
168;"American Souvenirs Inc";"2035557845";"149 Spinnaker Dr.";"Suite 101";"New Haven";"CT";"97823";"USA";1286;0.0;"Franco,Keith"
169;"Porto Imports Co.";"(1) 356-5555";"Estrada da saude n. 58";"";"Lisboa";"";"1756";"Portugal";0;0.0;"de Castro,Isabel "
171;"Daedalus Designs Imports";"20.16.1555";"184, chaussee de Tournai";"";"Lille";"";"59000";"France";1370;82900.0;"Rance,Martine "
172;"La Corne D'abondance, Co.";"(1) 42.34.2555";"265, boulevard Charonne";"";"Paris";"";"75012";"France";1337;84300.0;"Bertrand,Marie"
173;"Cambridge Collectables Co.";"6175555555";"4658 Baden Av.";"";"Cambridge";"MA";"51247";"USA";1188;43400.0;"Tseng,Jerry"
175;"Gift Depot Inc.";"2035552570";"25593 South Bay Ln.";"";"Bridgewater";"CT";"97562";"USA";1323;84300.0;"King,Julie"
177;"Osaka Souveniers Co.";"+81 06 6342 5555";"1-6-20 Dojima";"";"Kita-ku";"Osaka";" 530-0003";"Japan";1621;81200.0;"Kentary,Mory"
181;"Vitachrome Inc.";"2125551500";"2678 Kingston Rd.";"Suite 101";"NYC";"NY";"10022";"USA";1286;76400.0;"Frick,Michael"
186;"Toys of Finland, Co.";"90-224 8555";"Keskuskatu 45";"";"Helsinki";"";"21240";"Finland";1501;96500.0;"Karttunen,Matti"
187;"AV Stores, Co.";"(171) 555-1555";"Fauntleroy Circus";"";"Manchester";"";"EC2 5NT";"UK";1501;136800.0;"Ashworth,Rachel"
189;"Clover Collections, Co.";"+353 1862 1555";"25 Maiden Lane";"Floor No. 4";"Dublin";"";"2";"Ireland";1504;69400.0;"Cassidy,Dean"
198;"Auto-Moto Classics Inc.";"6175558428";"16780 Pompton St.";"";"Brickhaven";"MA";"58339";"USA";1216;23000.0;"Taylor,Leslie"
201;"UK Collectables, Ltd.";"(171) 555-2282";"12, Berkeley Gardens Blvd";"";"Liverpool";"";"WX1 6LT";"UK";1501;92700.0;"Devon,Elizabeth"
202;"Canadian Gift Exchange Network";"(604) 555-3392";"1900 Oak St.";"";"Vancouver";"BC";"V3F 2K1";"Canada";1323;90300.0;"Tamuri,Yoshi "
204;"Online Mini Collectables";"6175557555";"7635 Spinnaker Dr.";"";"Brickhaven";"MA";"58339";"USA";1188;68700.0;"Barajas,Miguel"
205;"Toys4GrownUps.com";"6265557265";"78934 Hillside Dr.";"";"Pasadena";"CA";"90003";"USA";1166;90700.0;"Young,Julie"
206;"Asian Shopping Network, Co";"+612 9411 1555";"Suntec Tower Three";"8 Temasek";"Singapore";"";"038988";"Singapore";0;0.0;"Walker,Brydey"
209;"Mini Caravy";"88.60.1555";"24, place Kleber";"";"Strasbourg";"";"67000";"France";1370;53800.0;"Citeaux,Frederique "
211;"King Kong Collectables, Co.";"+852 2251 1555";"Bank of China Tower";"1 Garden Road";"Central Hong Kong";"";"";"Hong Kong";1621;58600.0;"Gao,Mike"
216;"Enaco Distributors";"(93) 203 4555";"Rambla de Catalunya, 23";"";"Barcelona";"";"08022";"Spain";1702;60300.0;"Saavedra,Eduardo "
219;"Boards & Toys Co.";"3105552373";"4097 Douglas Av.";"";"Glendale";"CA";"92561";"USA";1166;11000.0;"Young,Mary"
223;"Naturlich Autos";"0372-555188";"Taucherstrabe 10";"";"Cunewalde";"";"01307";"Germany";0;0.0;"Kloss,Horst "
227;"Heintze Collectables";"86 21 3555";"Smagsloget 45";"";"arhus";"";"8200";"Denmark";1401;120800.0;"Ibsen,Palle"
233;"Quebec Home Shopping Network";"(514) 555-8054";"43 rue St. Laurent";"";"Montreal";"Quebec";"H1J 1C3";"Canada";1286;48700.0;"Fresniere,Jean "
237;"ANG Resellers";"(91) 745 6555";"Gran Via, 1";"";"Madrid";"";"28001";"Spain";0;0.0;"Camino,Alejandra "
